product_id,product_name,category,subcategory,model_code,capacity,variant,mapping_confidence,docx_verification
PROD-015,T-4103 Three Phase (60-120KVA),UPS Solutions,On-line low frequency,OL3060T93200S,60KVA/54KW,,unverified,excel_only_no_docx_table
PROD-015,T-4103 Three Phase (60-120KVA),UPS Solutions,On-line low frequency,OL3080T93200S,80KVA/72KW,,unverified,excel_only_no_docx_table
PROD-015,T-4103 Three Phase (60-120KVA),UPS Solutions,On-line low frequency,OL3100T93200S,100KVA/90KW,,unverified,excel_only_no_docx_table
PROD-015,T-4103 Three Phase (60-120KVA),UPS Solutions,On-line low frequency,OL3120T93200S,120KVA/108KW,,unverified,excel_only_no_docx_table
PROD-016,T-4103 Three Phase (160-600KVA),UPS Solutions,On-line low frequency,OL3160T93200S,160KVA/144KW,,unverified,excel_only_no_docx_table
PROD-016,T-4103 Three Phase (160-600KVA),UPS Solutions,On-line low frequency,OL3200T93200S,200KVA/180KW,,unverified,excel_only_no_docx_table
PROD-016,T-4103 Three Phase (160-600KVA),UPS Solutions,On-line low frequency,OL3250T93200S,250KVA/225KW,,unverified,excel_only_no_docx_table
PROD-016,T-4103 Three Phase (160-600KVA),UPS Solutions,On-line low frequency,OL3300T93200S,300KVA/270KW,,unverified,excel_only_no_docx_table
PROD-016,T-4103 Three Phase (160-600KVA),UPS Solutions,On-line low frequency,OL3400T93200S,400KVA/360KW,,unverified,excel_only_no_docx_table
PROD-016,T-4103 Three Phase (160-600KVA),UPS Solutions,On-line low frequency,OL3500T93200S,500KVA/450KW,,unverified,excel_only_no_docx_table
PROD-016,T-4103 Three Phase (160-600KVA),UPS Solutions,On-line low frequency,OL3600T93200S,600KVA/540KW,,unverified,excel_only_no_docx_table
PROD-017,T-4111 Single Phase (1-10kVA),UPS Solutions,Rack-Mountable,OL1001R80600S,1KVA/0.8KW,,unverified,excel_only_no_docx_table
PROD-017,T-4111 Single Phase (1-10kVA),UPS Solutions,Rack-Mountable,OL1002R80600S,2KVA/1.6KW,,unverified,excel_only_no_docx_table
PROD-017,T-4111 Single Phase (1-10kVA),UPS Solutions,Rack-Mountable,OL1003R80800S,3KVA/2.4KW,,unverified,excel_only_no_docx_table
PROD-017,T-4111 Single Phase (1-10kVA),UPS Solutions,Rack-Mountable,OL1006R81600S,6KVA/4.8KW,,unverified,excel_only_no_docx_table
PROD-017,T-4111 Single Phase (1-10kVA),UPS Solutions,Rack-Mountable,OL1008R81600S,8KVA/6.4KW,,unverified,excel_only_no_docx_table
PROD-017,T-4111 Single Phase (1-10kVA),UPS Solutions,Rack-Mountable,OL1010R81600S,10KVA/8KW,,unverified,excel_only_no_docx_table
PROD-018,T-4011 Single Phase (1-10KVA),UPS Solutions,Rack-Mountable,OH1001C10207S,1KVA/1KW,,unverified,excel_only_no_docx_table
PROD-018,T-4011 Single Phase (1-10KVA),UPS Solutions,Rack-Mountable,OH1002C10407S,2KVA/2KW,,unverified,excel_only_no_docx_table
PROD-018,T-4011 Single Phase (1-10KVA),UPS Solutions,Rack-Mountable,OH1003C10607S,3KVA/3KW,,unverified,excel_only_no_docx_table
PROD-018,T-4011 Single Phase (1-10KVA),UPS Solutions,Rack-Mountable,OH1006C11607S,6KVA/6KW,,unverified,excel_only_no_docx_table
PROD-018,T-4011 Single Phase (1-10KVA),UPS Solutions,Rack-Mountable,OH1010C11607S,10KVA/10KW,,unverified,excel_only_no_docx_table
PROD-019,T-4011 Single Phase (3-5kVA),UPS Solutions,Rack-Mountable,OH1003R10400S,3KVA,,unverified,excel_only_no_docx_table
PROD-019,T-4011 Single Phase (3-5kVA),UPS Solutions,Rack-Mountable,OH1005R10400S,5KVA,,unverified,excel_only_no_docx_table
PROD-020,T-4011 Single Phase (6-10KVA),UPS Solutions,Rack-Mountable,OH1006R11600L,6kVA/6kW,,conflict,not_in_docx_conflict
PROD-020,T-4011 Single Phase (6-10KVA),UPS Solutions,Rack-Mountable,OH1006R16000L,6kVA/6kW,,conflict,not_in_docx_conflict
PROD-020,T-4011 Single Phase (6-10KVA),UPS Solutions,Rack-Mountable,OH1010R11600L,10kVA/10kW,,conflict,not_in_docx_conflict
PROD-020,T-4011 Single Phase (6-10KVA),UPS Solutions,Rack-Mountable,OH1010R16000L,10kVA/10kW,,conflict,not_in_docx_conflict
PROD-020,T-4011 Single Phase (6-10KVA),UPS Solutions,Rack-Mountable,OH2010R11600L,10kVA/10kW,,conflict,not_in_docx_conflict
PROD-021,T-4011 Single Phase (1-10kVA),UPS Solutions,Rack-Mountable,OH1001C10300S,1KVA/1KW,,unverified,excel_only_no_docx_table
PROD-021,T-4011 Single Phase (1-10kVA),UPS Solutions,Rack-Mountable,OH1002C10600S,2KVA/2KW,,unverified,excel_only_no_docx_table
PROD-021,T-4011 Single Phase (1-10kVA),UPS Solutions,Rack-Mountable,OH1003C10800S,3KVA/3KW,,unverified,excel_only_no_docx_table
PROD-021,T-4011 Single Phase (1-10kVA),UPS Solutions,Rack-Mountable,OH1006C11600S,6KVA/6KW,,unverified,excel_only_no_docx_table
PROD-021,T-4011 Single Phase (1-10kVA),UPS Solutions,Rack-Mountable,OH1010C11600S,10KVA/10KW,,unverified,excel_only_no_docx_table
PROD-022,T-4012 Three Phase (10-20KVA),UPS Solutions,Rack-Mountable,OH2010C81600S,10KVA/8KW,,unverified,excel_only_no_docx_table
PROD-022,T-4012 Three Phase (10-20KVA),UPS Solutions,Rack-Mountable,OH2015C81600S,15KVA/12KW,,unverified,excel_only_no_docx_table
PROD-022,T-4012 Three Phase (10-20KVA),UPS Solutions,Rack-Mountable,OH2020C81600S,20KVA/16KW,,unverified,excel_only_no_docx_table
PROD-022,T-4012 Three Phase (10-20KVA),UPS Solutions,Rack-Mountable,OH2010C92000S,10KVA/9KW,,unverified,excel_only_no_docx_table
PROD-022,T-4012 Three Phase (10-20KVA),UPS Solutions,Rack-Mountable,OH2015C92000S,15KVA/13.5KW,,unverified,excel_only_no_docx_table
PROD-022,T-4012 Three Phase (10-20KVA),UPS Solutions,Rack-Mountable,OH2020C92000S,20KVA/18KW,,unverified,excel_only_no_docx_table
PROD-023,T-4011 Single Phase (1-10KVA),UPS Solutions,Rack-Mountable,OH1001R11200L,1KVA/1KW,,verified,docx_datasheet
PROD-023,T-4011 Single Phase (1-10KVA),UPS Solutions,Rack-Mountable,OH1002R12300L,2KVA/2KW,,verified,docx_datasheet
PROD-023,T-4011 Single Phase (1-10KVA),UPS Solutions,Rack-Mountable,OH1003R13000L,3KVA/3KW,,verified,docx_datasheet
PROD-023,T-4011 Single Phase (1-10KVA),UPS Solutions,Rack-Mountable,OH1006R16000L,6KVA/6KW,,verified,docx_datasheet
PROD-023,T-4011 Single Phase (1-10KVA),UPS Solutions,Rack-Mountable,OH1010R16000L,10KVA/10KW,,verified,docx_datasheet
PROD-024,T-4011 Single Phase (1-3KVA),UPS Solutions,Rack-Mountable,OH1001R80400L,1KVA/0.8KW,,verified,docx_datasheet
PROD-024,T-4011 Single Phase (1-3KVA),UPS Solutions,Rack-Mountable,OH1002R80400L,2KVA/1.6KW,,verified,docx_datasheet
PROD-024,T-4011 Single Phase (1-3KVA),UPS Solutions,Rack-Mountable,OH1003R80400L,3KVA/2.4KW,,verified,docx_datasheet
PROD-025,T-6003 Three Phase (50-600KVA),UPS Solutions,Modular Series,MH3200U15000S,200KVA,,unverified,excel_only_no_docx_table
PROD-025,T-6003 Three Phase (50-600KVA),UPS Solutions,Modular Series,MH3300U15000S,300KVA,,unverified,excel_only_no_docx_table
PROD-025,T-6003 Three Phase (50-600KVA),UPS Solutions,Modular Series,MH3400U15000S,400KVA,,unverified,excel_only_no_docx_table
PROD-025,T-6003 Three Phase (50-600KVA),UPS Solutions,Modular Series,MH3500U15000S,500KVA,,unverified,excel_only_no_docx_table
PROD-025,T-6003 Three Phase (50-600KVA),UPS Solutions,Modular Series,MH3600U15000S,600KVA,,unverified,excel_only_no_docx_table
PROD-026,T-7701 Single Phase (1.6-6KVA),UPS Solutions,Inverters,IH11X6W10100C,1600VA/1600W,,conflict,not_in_docx_conflict
PROD-026,T-7701 Single Phase (1.6-6KVA),UPS Solutions,Inverters,H13X2W10200C,3200VA/3200W,,conflict,not_in_docx_conflict
PROD-026,T-7701 Single Phase (1.6-6KVA),UPS Solutions,Inverters,IH1004W10200C,4000VA/4000W,,conflict,not_in_docx_conflict
PROD-026,T-7701 Single Phase (1.6-6KVA),UPS Solutions,Inverters,IH1006W10400C,6000VA/6000W,,conflict,not_in_docx_conflict
PROD-027,T-7701 Single Phase (6-10KVA),UPS Solutions,Inverters,IH1006W10400S,6kVA/6kW,,conflict,not_in_docx_conflict
